series_title,runtime,genre,imdb_rating,overview,meta_score,director,star1,star2,star3,star4,gross
The Best Years of Our Lives,170,"['Drama', 'Romance', 'War']",8.0,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,93.0,William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,23650000.0
Hedwig and the Angry Inch,95,"['Comedy', 'Drama', 'Music']",7.7,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,85.0,John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Theodore Liscinski,3029081.0
Gone Girl,149,"['Drama', 'Mystery', 'Thriller']",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,167767189.0
The Red Shoes,135,"['Drama', 'Music', 'Romance']",8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,80.0,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,10900000.0
Le Petit Prince,108,"['Animation', 'Adventure', 'Drama']",7.7,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",70.0,Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,1339152.0
M.S. Dhoni: The Untold Story,184,"['Biography', 'Drama', 'Sport']",7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,80.0,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,1782795.0
Hell or High Water,102,"['Action', 'Crime', 'Drama']",7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,88.0,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,26862450.0
In the Heat of the Night,110,"['Crime', 'Drama', 'Mystery']",7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,75.0,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,24379978.0
Anatomy of a Murder,161,"['Crime', 'Drama', 'Mystery']",8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",95.0,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,11900000.0
Ferris Bueller's Day Off,103,['Comedy'],7.8,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",61.0,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,70136369.0
