released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
1972,3,175,"['crime', 'drama']",9.2,100.0,2,2,2,1,2,1620367,134966411.0,83.29372975381503
2008,1,152,"['action', 'crime', 'drama']",9.0,84.0,3,3,2,1,2,2303232,534858444.0,232.22082881793932
1974,3,202,"['crime', 'drama']",9.0,90.0,2,3,2,2,2,1129952,57300000.0,50.71011865990768
1957,0,96,"['crime', 'drama']",9.0,96.0,2,2,1,2,1,689845,4360000.0,6.3202603483391195
2003,0,201,"['action', 'adventure', 'drama']",8.9,94.0,2,2,2,1,2,1642758,377845905.0,230.0070399900655
1994,3,154,"['crime', 'drama']",8.9,94.0,3,1,2,2,1,1826188,107928762.0,59.10057562529159
1993,3,195,"['biography', 'drama', 'history']",8.9,94.0,3,2,1,1,1,1213505,96898818.0,79.85036567628481
2010,1,148,"['action', 'adventure', 'sci-fi']",8.8,74.0,3,3,2,1,1,2067042,292576195.0,141.54342050137345
1999,3,139,['drama'],8.8,66.0,3,2,1,1,1,1854740,37030102.0,19.965117482773866
2001,0,178,"['action', 'adventure', 'drama']",8.8,92.0,2,2,2,2,1,1661481,315544750.0,189.91776011883374
1994,1,142,"['drama', 'romance']",8.8,82.0,2,3,2,1,1,1809221,330252182.0,182.53833113809756
1966,3,161,['western'],8.8,90.0,3,3,1,1,1,688390,6100000.0,8.861255974084457
2002,1,179,"['action', 'adventure', 'drama']",8.7,87.0,2,2,2,1,2,1485555,342551365.0,230.58814045928963
1999,3,136,"['action', 'sci-fi']",8.7,73.0,1,1,1,1,1,1676426,171479930.0,102.28899456343436
1990,3,146,"['biography', 'crime', 'drama']",8.7,90.0,3,3,1,2,1,1020727,46836394.0,45.88532879016623
1980,1,124,"['action', 'adventure', 'fantasy']",8.7,82.0,1,2,2,2,2,1159315,290475067.0,250.5574990403816
1975,3,133,['drama'],8.7,83.0,2,2,1,1,1,918088,112000000.0,121.99266301269596
2020,2,160,"['biography', 'drama', 'history']",8.6,90.0,1,1,1,1,1,55291,23457439.5,424.25420954585735
2019,3,132,"['comedy', 'drama', 'thriller']",8.6,96.0,2,2,1,1,1,552778,53367844.0,96.54480460510368
2020,0,153,['drama'],8.6,79.0,1,1,2,2,1,54995,23457439.5,426.5376761523775
2014,1,169,"['adventure', 'drama', 'sci-fi']",8.6,74.0,3,2,2,1,1,1512360,188020017.0,124.32226255653416
2002,3,130,"['crime', 'drama']",8.6,79.0,1,1,1,1,1,699256,7563397.0,10.8163490910339
2001,0,125,"['animation', 'adventure', 'family']",8.6,96.0,3,1,1,1,1,651376,10055859.0,15.437871521210484
1998,3,169,"['drama', 'war']",8.6,91.0,3,3,2,2,1,1235804,216540909.0,175.22269631753903
1999,3,189,"['crime', 'drama', 'fantasy']",8.6,61.0,1,3,1,2,1,1147794,136801374.0,119.18634702742827
1997,0,116,"['comedy', 'drama', 'romance']",8.6,59.0,1,1,1,1,1,623629,57598247.0,92.35979564773287
1995,3,127,"['crime', 'drama', 'mystery']",8.6,65.0,3,2,2,1,1,1445096,100125643.0,69.28649930523648
1991,3,118,"['crime', 'drama', 'thriller']",8.6,85.0,2,1,1,1,1,1270197,130742922.0,102.93121618142698
1977,1,121,"['action', 'adventure', 'fantasy']",8.6,90.0,1,2,2,2,1,1231473,322740140.0,262.07650512841127
1962,-1,133,"['action', 'drama', 'mystery']",8.6,85.0,1,2,1,1,1,42004,23457439.5,558.4572778782973
1954,0,207,"['action', 'adventure', 'drama']",8.6,98.0,3,3,1,1,1,315744,269061.0,0.852149209486166
1946,1,130,"['drama', 'family', 'fantasy']",8.6,89.0,2,3,1,1,1,405801,23457439.5,57.80527771001057
