released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
1972,adults,175,"['crime', 'drama']",9.2,100.0,few_movies,few_movies,few_movies,one_movie,few_movies,1620367,134966411.0,83.29372975381503
2008,watch_with_parents,152,"['action', 'crime', 'drama']",9.0,84.0,multiple_movies,multiple_movies,few_movies,one_movie,few_movies,2303232,534858444.0,232.22082881793932
1974,adults,202,"['crime', 'drama']",9.0,90.0,few_movies,multiple_movies,few_movies,few_movies,few_movies,1129952,57300000.0,50.71011865990768
1957,all_ages,96,"['crime', 'drama']",9.0,96.0,few_movies,few_movies,one_movie,few_movies,one_movie,689845,4360000.0,6.3202603483391195
2003,all_ages,201,"['action', 'adventure', 'drama']",8.9,94.0,few_movies,few_movies,few_movies,one_movie,few_movies,1642758,377845905.0,230.0070399900655
1994,adults,154,"['crime', 'drama']",8.9,94.0,multiple_movies,one_movie,few_movies,few_movies,one_movie,1826188,107928762.0,59.10057562529159
1993,adults,195,"['biography', 'drama', 'history']",8.9,94.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,1213505,96898818.0,79.85036567628481
2010,watch_with_parents,148,"['action', 'adventure', 'sci-fi']",8.8,74.0,multiple_movies,multiple_movies,few_movies,one_movie,one_movie,2067042,292576195.0,141.54342050137345
1999,adults,139,['drama'],8.8,66.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,1854740,37030102.0,19.965117482773866
2001,all_ages,178,"['action', 'adventure', 'drama']",8.8,92.0,few_movies,few_movies,few_movies,few_movies,one_movie,1661481,315544750.0,189.91776011883374
1994,watch_with_parents,142,"['drama', 'romance']",8.8,82.0,few_movies,multiple_movies,few_movies,one_movie,one_movie,1809221,330252182.0,182.53833113809756
1966,adults,161,['western'],8.8,90.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,688390,6100000.0,8.861255974084457
2002,watch_with_parents,179,"['action', 'adventure', 'drama']",8.7,87.0,few_movies,few_movies,few_movies,one_movie,few_movies,1485555,342551365.0,230.58814045928963
1999,adults,136,"['action', 'sci-fi']",8.7,73.0,one_movie,one_movie,one_movie,one_movie,one_movie,1676426,171479930.0,102.28899456343436
1990,adults,146,"['biography', 'crime', 'drama']",8.7,90.0,multiple_movies,multiple_movies,one_movie,few_movies,one_movie,1020727,46836394.0,45.88532879016623
1980,watch_with_parents,124,"['action', 'adventure', 'fantasy']",8.7,82.0,one_movie,few_movies,few_movies,few_movies,few_movies,1159315,290475067.0,250.5574990403816
1975,adults,133,['drama'],8.7,83.0,few_movies,few_movies,one_movie,one_movie,one_movie,918088,112000000.0,121.99266301269596
2020,teens,160,"['biography', 'drama', 'history']",8.6,90.0,one_movie,one_movie,one_movie,one_movie,one_movie,55291,23457439.5,424.25420954585735
2019,adults,132,"['comedy', 'drama', 'thriller']",8.6,96.0,few_movies,few_movies,one_movie,one_movie,one_movie,552778,53367844.0,96.54480460510368
2020,all_ages,153,['drama'],8.6,79.0,one_movie,one_movie,few_movies,few_movies,one_movie,54995,23457439.5,426.5376761523775
2014,watch_with_parents,169,"['adventure', 'drama', 'sci-fi']",8.6,74.0,multiple_movies,few_movies,few_movies,one_movie,one_movie,1512360,188020017.0,124.32226255653416
2002,adults,130,"['crime', 'drama']",8.6,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,699256,7563397.0,10.8163490910339
2001,all_ages,125,"['animation', 'adventure', 'family']",8.6,96.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,651376,10055859.0,15.437871521210484
1998,adults,169,"['drama', 'war']",8.6,91.0,multiple_movies,multiple_movies,few_movies,few_movies,one_movie,1235804,216540909.0,175.22269631753903
1999,adults,189,"['crime', 'drama', 'fantasy']",8.6,61.0,one_movie,multiple_movies,one_movie,few_movies,one_movie,1147794,136801374.0,119.18634702742827
1997,all_ages,116,"['comedy', 'drama', 'romance']",8.6,59.0,one_movie,one_movie,one_movie,one_movie,one_movie,623629,57598247.0,92.35979564773287
1995,adults,127,"['crime', 'drama', 'mystery']",8.6,65.0,multiple_movies,few_movies,few_movies,one_movie,one_movie,1445096,100125643.0,69.28649930523648
1991,adults,118,"['crime', 'drama', 'thriller']",8.6,85.0,few_movies,one_movie,one_movie,one_movie,one_movie,1270197,130742922.0,102.93121618142698
1977,watch_with_parents,121,"['action', 'adventure', 'fantasy']",8.6,90.0,one_movie,few_movies,few_movies,few_movies,one_movie,1231473,322740140.0,262.07650512841127
1962,unrated,133,"['action', 'drama', 'mystery']",8.6,85.0,one_movie,few_movies,one_movie,one_movie,one_movie,42004,23457439.5,558.4572778782973
1954,all_ages,207,"['action', 'adventure', 'drama']",8.6,98.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,315744,269061.0,0.852149209486166
1946,watch_with_parents,130,"['drama', 'family', 'fantasy']",8.6,89.0,few_movies,multiple_movies,one_movie,one_movie,one_movie,405801,23457439.5,57.80527771001057
2019,adults,122,"['crime', 'drama', 'thriller']",8.5,59.0,few_movies,few_movies,few_movies,one_movie,one_movie,939252,335451311.0,357.14729486868276
2014,adults,106,"['drama', 'music']",8.5,88.0,few_movies,one_movie,one_movie,one_movie,few_movies,717585,13092000.0,18.244528522753402
2011,watch_with_parents,112,"['biography', 'comedy', 'drama']",8.5,57.0,one_movie,one_movie,one_movie,one_movie,one_movie,760360,13182281.0,17.336894365826712
2006,all_ages,130,"['drama', 'mystery', 'sci-fi']",8.5,66.0,multiple_movies,multiple_movies,one_movie,few_movies,few_movies,1190259,53089891.0,44.603645929163314
2006,adults,151,"['crime', 'drama', 'thriller']",8.5,85.0,multiple_movies,multiple_movies,few_movies,one_movie,one_movie,1189773,132384315.0,111.26854870634986
2002,adults,150,"['biography', 'drama', 'music']",8.5,85.0,few_movies,few_movies,one_movie,one_movie,one_movie,729603,32572577.0,44.64424762507829
2000,watch_with_parents,155,"['action', 'adventure', 'drama']",8.5,67.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,1341460,187705427.0,139.92621993946895
1998,adults,119,['drama'],8.5,62.0,few_movies,few_movies,one_movie,one_movie,one_movie,1034705,6719864.0,6.494473303985194
1995,adults,106,"['crime', 'mystery', 'thriller']",8.5,77.0,few_movies,few_movies,few_movies,one_movie,one_movie,991208,23341568.0,23.548607355872836
1994,adults,110,"['action', 'crime', 'drama']",8.5,64.0,few_movies,one_movie,few_movies,one_movie,one_movie,1035236,19501238.0,18.83748053583917
1994,all_ages,88,"['animation', 'adventure', 'drama']",8.5,88.0,one_movie,one_movie,one_movie,one_movie,one_movie,942045,422783777.0,448.79361070861796
1991,all_ages,137,"['action', 'sci-fi']",8.5,75.0,few_movies,few_movies,few_movies,one_movie,few_movies,995506,204843350.0,205.768071714284
1988,all_ages,155,"['drama', 'romance']",8.5,80.0,few_movies,one_movie,one_movie,one_movie,one_movie,230763,11990401.0,51.95980724812903
1988,all_ages,89,"['animation', 'drama', 'war']",8.5,94.0,few_movies,one_movie,one_movie,one_movie,one_movie,235231,23457439.5,99.72086799784041
1985,all_ages,116,"['adventure', 'comedy', 'sci-fi']",8.5,87.0,few_movies,few_movies,few_movies,few_movies,one_movie,1058081,210609762.0,199.0488081725312
1968,all_ages,165,['western'],8.5,80.0,multiple_movies,few_movies,one_movie,few_movies,one_movie,302844,5321508.0,17.57177953005508
1960,adults,109,"['horror', 'mystery', 'thriller']",8.5,97.0,multiple_movies,one_movie,one_movie,few_movies,one_movie,604211,32000000.0,52.961630953425214
1942,all_ages,102,"['drama', 'romance', 'war']",8.5,100.0,few_movies,multiple_movies,few_movies,one_movie,one_movie,522093,1024560.0,1.9624089960983964
1936,all_ages,87,"['comedy', 'drama', 'family']",8.5,96.0,multiple_movies,multiple_movies,few_movies,one_movie,one_movie,217881,163245.0,0.7492392636347364
1931,all_ages,87,"['comedy', 'drama', 'romance']",8.5,99.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,167839,19181.0,0.11428213943124066
2018,adults,126,['drama'],8.4,75.0,one_movie,one_movie,one_movie,one_movie,one_movie,62635,1661096.0,26.52025225512892
2017,unrated,125,"['biography', 'drama', 'history']",8.4,79.0,one_movie,few_movies,one_movie,one_movie,one_movie,34112,23457439.5,687.6594600140713
2017,watch_with_parents,147,"['action', 'crime', 'drama']",8.4,79.0,one_movie,one_movie,few_movies,one_movie,one_movie,28401,23457439.5,825.9370972853069
2016,all_ages,106,"['animation', 'drama', 'fantasy']",8.4,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,194838,5017246.0,25.75085968856178
2016,all_ages,161,"['action', 'biography', 'drama']",8.4,79.0,few_movies,multiple_movies,one_movie,one_movie,few_movies,156479,12391761.0,79.1912077658983
2018,all_ages,117,"['animation', 'action', 'adventure']",8.4,87.0,one_movie,one_movie,one_movie,one_movie,one_movie,375110,190241310.0,507.1613926581536
2019,watch_with_parents,181,"['action', 'adventure', 'drama']",8.4,78.0,few_movies,few_movies,few_movies,one_movie,few_movies,809955,858373000.0,1059.7786296769573
2018,watch_with_parents,149,"['action', 'adventure', 'sci-fi']",8.4,68.0,few_movies,few_movies,few_movies,one_movie,few_movies,834477,678815482.0,813.4621829001878
2017,all_ages,105,"['animation', 'adventure', 'family']",8.4,81.0,few_movies,one_movie,one_movie,one_movie,one_movie,384171,209726015.0,545.9183931114009
2012,adults,165,"['drama', 'western']",8.4,81.0,multiple_movies,few_movies,one_movie,one_movie,few_movies,1357682,162805434.0,119.91426121875372
2012,watch_with_parents,164,"['action', 'adventure']",8.4,78.0,multiple_movies,multiple_movies,few_movies,one_movie,one_movie,1516346,448139099.0,295.5388143603109
2009,watch_with_parents,170,"['comedy', 'drama']",8.4,67.0,few_movies,multiple_movies,few_movies,one_movie,few_movies,344445,6532908.0,18.966476505683055
2007,all_ages,165,"['drama', 'family']",8.4,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,168895,1223869.0,7.246330560407354
2008,all_ages,98,"['animation', 'adventure', 'family']",8.4,95.0,few_movies,one_movie,one_movie,one_movie,one_movie,999790,223808164.0,223.85517358645316
2006,adults,137,"['drama', 'mystery', 'thriller']",8.4,89.0,one_movie,one_movie,one_movie,one_movie,few_movies,358685,11286112.0,31.465246664900956
2003,adults,101,"['action', 'drama', 'mystery']",8.4,77.0,few_movies,one_movie,one_movie,one_movie,one_movie,515451,707481.0,1.3725475360412531
2000,watch_with_parents,113,"['mystery', 'thriller']",8.4,80.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,1125712,25544867.0,22.692186811546826
1997,all_ages,134,"['animation', 'action', 'adventure']",8.4,76.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,343171,2375308.0,6.92164547703623
1984,adults,229,"['crime', 'drama']",8.4,79.0,multiple_movies,multiple_movies,one_movie,one_movie,one_movie,311365,5321508.0,17.090899747884315
1981,adults,115,"['action', 'adventure']",8.4,85.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,884112,248159971.0,280.6883867654777
1980,adults,146,"['drama', 'horror']",8.4,66.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,898237,44017374.0,49.0041870909348
1979,adults,147,"['drama', 'mystery', 'war']",8.4,94.0,few_movies,few_movies,few_movies,few_movies,few_movies,606398,83471511.0,137.65136263642032
1979,adults,117,"['horror', 'sci-fi']",8.4,89.0,multiple_movies,few_movies,one_movie,one_movie,one_movie,787806,78900000.0,100.15156015567284
1971,all_ages,122,"['drama', 'musical']",8.4,79.0,one_movie,one_movie,few_movies,one_movie,one_movie,30273,23457439.5,774.8633931225845
1963,unrated,143,"['crime', 'drama', 'mystery']",8.4,79.0,multiple_movies,multiple_movies,one_movie,few_movies,one_movie,34357,23457439.5,682.7557557411881
1964,adults,95,['comedy'],8.4,97.0,multiple_movies,few_movies,one_movie,few_movies,one_movie,450474,275902.0,0.6124704200464399
1957,all_ages,116,"['crime', 'drama', 'mystery']",8.4,79.0,multiple_movies,one_movie,one_movie,one_movie,one_movie,108862,8175000.0,75.09507449798828
